ID	RAW_READS	UNALIGNED_READS	CLASSIFIED_READS
SRR9094428	7293272	169884	 5354
SRR9094429	7870895	248757	 11713
SRR9094430	6622312	148347	 6244
SRR9094431	8248171	102786	 2523
SRR9094432	9233397	105536	 2996
SRR9094433	7156841	79899	 2675
SRR9094434	8130653	143764	 5795
SRR9094435	8374268	94539	 4021
SRR9094436	7637570	113538	 5494
SRR9094437	7110637	224796	 8220
SRR9094438	6848186	110599	 4215
SRR9094439	7093422	194728	 19377
SRR9094440	6609194	65956	 421
SRR9094441	8330933	149849	 4813
SRR9094442	7620354	97582	 3293
SRR9094443	7365425	87706	 1085
SRR9094444	9045224	461707	 30555
SRR9094445	7105263	59985	 649
SRR9094446	8346173	132309	 4585
SRR9094447	7786528	85218	 1931
SRR9094448	11070218	112391	 1741
SRR9094449	5636176	143396	 8148
SRR9094450	7344237	157352	 7461
SRR9094451	7389168	164145	 8160
SRR9094452	7023051	89353	 1999
SRR9094453	7799765	95808	 2420
SRR9094454	8827999	82251	 1487
SRR9094455	8161797	138252	 5095
SRR9094456	7646966	760438	 42302
SRR9094457	7382725	113890	 4301
SRR9094458	8429401	68670	 771
SRR9094459	7649365	134618	 6289
SRR9094460	6335158	80693	 1963
SRR9094461	6891717	271389	 11347
SRR9094462	8340748	100331	 3667
SRR9094463	7315306	228468	 11552
SRR9094464	8203775	115592	 4600
SRR9094465	8505871	320783	 19249
SRR9094466	8491263	79484	 1800
SRR9094467	7630757	387039	 23781
SRR9094468	8724735	63813	 383
SRR9094469	7672233	75094	 1698
SRR9094470	8401167	83096	 684
SRR9094471	7116876	90757	 2775
SRR9094472	5791185	97424	 2063
SRR9094473	6715321	88754	 2938
SRR9094474	9147154	67939	 998
SRR9094475	7820560	91136	 2765
SRR9094476	8047948	114638	 4315
SRR9094477	7215702	150629	 6300
SRR9094478	8048885	118020	 5575
SRR9094479	6955775	529172	 37738
SRR9094480	7002006	790063	 54734
SRR9094481	6274345	137629	 5537
SRR9094482	9586903	130428	 5025
SRR9094483	8328434	102858	 3095
SRR9094484	6820883	140075	 5039
SRR9094485	8798580	58105	 747
SRR9094486	7772216	337224	 16804
SRR9094487	6514249	372535	 25983
SRR9094488	7857570	73963	 1787
SRR9094489	7322319	188817	 9930
SRR9094490	7570788	55508	 103
SRR9094491	7458148	77688	 2297
SRR9094492	10165886	70954	 161
SRR9094493	7355997	62260	 1197
SRR9094494	8561951	328742	 4053
SRR9094495	6459683	75024	 288
SRR9094496	6047318	106194	 401
SRR9094497	6628185	69607	 1298
SRR9094498	7935080	67005	 250
SRR9094499	6392908	58776	 103
SRR9094500	7846486	64446	 77
SRR9094501	7677529	147236	 7211
SRR9094502	7578732	126432	 5448
SRR9094503	9298701	238619	 14310
SRR9094504	7986157	117318	 4189
SRR9094505	5873688	79450	 847
SRR9094506	7804645	122051	 2920
SRR9094507	6103776	104634	 1536
SRR9094508	6968233	482585	 33710
SRR9094509	7802809	277217	 14424
SRR9094510	7288621	872852	 1991
SRR9094511	7764460	193265	 9440
SRR9094512	7283528	63229	 1037
SRR9094513	8761199	316794	 18839
SRR9094514	8296427	135282	 6176
SRR9094515	6965863	78014	 1693
SRR9094516	6536128	212711	 12443
SRR9094517	6532672	664248	 32367
SRR9094518	7377949	241696	 14997
SRR9094519	6490139	450781	 31168
SRR9094520	9183238	100603	 3105
SRR9094521	8961017	164607	 8184
SRR9094522	9025676	261168	 22829
SRR9094523	8148798	175522	 9640
SRR9094524	9263850	87302	 4705
SRR9094525	8862600	222198	 25640
SRR9094526	7524176	318230	 29891
SRR9094527	8087304	131628	 12253
SRR9094528	9212857	101448	 7805
SRR9094529	9459977	124049	 9209
SRR9094530	8873306	645706	 70846
SRR9094531	9647151	279871	 32914
SRR9094532	10720753	581998	 40292
SRR9094533	8960995	378108	 28516
SRR9094534	10753306	1506571	 94364
SRR9094535	6838430	832043	 40482
SRR9094536	8016497	1518556	 127332
SRR9094537	7248737	845310	 58147
SRR9094538	9317317	198762	 12295
SRR9094539	8843226	773426	 48760
SRR9094540	8434973	898348	 96802
SRR9094541	9288594	175625	 10974
SRR9094542	8630942	435898	 26149
SRR9094543	9595997	162450	 6042
SRR9094544	6312539	283086	 47223
SRR9094545	7039294	244782	 12963
SRR9094546	8815317	369951	 62497
SRR9094547	7331502	225404	 15339
SRR9094548	9740427	175851	 9898
SRR9094549	7231993	206365	 13445
SRR9094550	10230936	304824	 16459
SRR9094551	8579794	218105	 11258
SRR9094552	10808607	362053	 20821
SRR9094553	7312205	543597	 28183
SRR9094554	9232461	812940	 45408
SRR9094555	8964442	225786	 13499
